"投稿内容","投稿回数","","",""
"あ","1","","本日も名言と共に頑張りましょう✨\n\n","知識は力である。 - フランシス・ベーコン"
"","0","","","人生において唯一恐れるべきことは恐れそのものである。 - フランクリン・ルーズベルト"
"","0","","","人間は自分が思っている以上に強く、そして他人が思っている以上に賢い。 - ヘレン・ケラー"
"","0","","","苦難は、未来の幸福を予言する。 - ルーシー・モード・モンゴメリー"
"","0","","","成功への鍵は、自分の能力を信じることである。 - ウォルト・ディズニー"
"","0","","","苦しいときにこそ、人間は自分自身を発見することができる。 - フリードリヒ・ニーチェ"
"","0","","","知恵は、物事を見る方法を変えることである。 - エリック・ハフェル"
"","0","","","成長は快適さを妨げる。しかし、快適さは成長を妨げる。 - ロビン・シャルマ"
"","0","","","今日できることは、明日に延ばすな。 - マザー・テレサ"
"","0","","","最大の冒険は、自分自身を発見することである。 - デイビッド・ベン＝グリオン"
"","0","","","教育は、あなたが行くべき道を選択する手助けになる。 - マララ・ユスフザイ"
"","0","","","理解することは、愛することにつながる。愛することは、理解することにつながる。 - オードリー・ヘップバーン"
"","0","","","失敗は、次の成功のための準備である。 - ヘンリー・フォード"
"","0","","","変化は、成長の機会である。また、成長は、変化を引き起こす。 - ウィリアム・ジェームズ"
"","0","","","希望は、失望を克服するための力である。 - エレノア・ルーズベルト"
"","0","","","人生は、何度も転がされるボールのようなものである。重要なことは、常に立ち上がり続けることである。 - ウィンストン・チャーチル"
"","0","","","真の平和とは、自分自身によって達成されるものである。 - ネルソン"
"","0","","","人間は自由であるべきである。しかしその自由は、他者の自由を侵害してはならない。 - アブラハム・リンカーン"
"","0","","","成功は、自分がしたいことをすることによって得られるものではなく、自分がすべきことをすることによって得られるものである。 - ジョン・C・マクスウェル"
"","0","","","努力することによって、人生を豊かにすることができる。 - フランク・ロイド・ライト"
"","0","","","成功は、過去を振り返ることによって得られるものではなく、未来を見据えることによって得られるものである。 - ニコラス・スパークス"
"","0","","","優しさは、言葉で表現されるものではなく、行動で表現されるものである。 - セント・テレサ"
"","0","","","希望とは、翼のようなものである。それがあれば、人はどこまでも飛び立つことができる。 - エミリー・ディキンソン"
"","0","","","成功するために必要なのは、まず自分自身を信じることである。 - ビリー・ジーン・キング"
"","0","","","人生は、自分が思っているよりも短く、しかもそれがわかっていても、人は自分自身を騙し続ける。 - ロバート・ブラウニング"
"","0","","","本当に素晴らしいことを成し遂げるためには、まず小さなことを積み重ねることから始めなければならない。 - リチャード・ブランソン"
"","0","","","自己啓発は、自分自身を改善するための最良の方法である。 - ジム・ローン"
"","0","","","私たちは、自分自身の物語を書き、自分自身の人生を作り出している。 - ブレナ・ブラウン"
"","0","","","困難な状況に直面したとき、人間は自分自身の本当の力を発揮することができる。 - ダルウィン"
"","0","","","目標に向かって進むためには、まず自分自身を知ることが必要である。 - アリストテレス"
"","0","","","苦しんでいる人を助けることこそが、真の幸福を得ることに繋がる。 - ヘレン・ケラー"
"","0","","","成功するために必要なのは、自分自身を信じることである。 - マイケル・ジョーダン"
"","0","","","変化を望むなら、まず自分自身から変えなければならない。 - マハトマ・ガンジー"
"","0","","","人生は、自分自身が選択したものである。 - エリザベス・ギルバート"
"","0","","","成功するために必要なのは、自分自身を犠牲にすることではなく、自分自身を成長させることである。 - ジョン・マクスウェル"
"","0","","","失敗は、次によりよくやるための学びの機会である。 - ヘンリー・フォード"
"","0","","","人生は、失敗と成功の繰り返しである。 - ジョージ・アダムス"
"","0","","","人生は、短い旅である。だからこそ、楽しむことが大切である。 - ナオミ・ウルフ"
"","0","","","成功するために必要なのは、やりたいことをやり続けることである。 - リチャード・ブランソン"
"","0","","","自分自身を信じることができる人は、どんな困難な状況でも乗り越えることができる。 - ジョージ・ワシントン"
